Database	Dataset	C-Index	L1-Ratio
MPath	brca	0.5729267818993979	0.17
MPath	brca	0.5457131247460382	0.79
MPath	brca	0.608331711115437	0.07
MPath	brca	0.5333922261484099	0.86
MPath	brca	0.5429645542427497	0.01
MPath	brca	0.4987611968744044	0.17
MPath	brca	0.570771001150748	0.17
MPath	brca	0.531452959732789	0.17
MPath	brca	0.5029295029295029	0.83
MPath	brca	0.5298013245033113	0.83
MPath	lihc	0.5130641330166271	0.47
MPath	lihc	0.4626865671641791	0.98
MPath	lihc	0.5611285266457681	0.61
MPath	lihc	0.6605922551252847	0.11
MPath	lihc	0.4780600461893764	0.98
MPath	lihc	0.6008676789587852	0.13
MPath	lihc	0.5994236311239193	0.17
MPath	lihc	0.5406032482598608	0.94
MPath	lihc	0.5628571428571428	0.17
MPath	lihc	0.6464379947229552	0.07
MPath	kirc	0.5762331838565022	0.07
MPath	kirc	0.6992840095465394	0.07
MPath	kirc	0.5544554455445545	0.07
MPath	kirc	0.6169977924944813	0.17
MPath	kirc	0.595771144278607	0.11
MPath	kirc	0.5558510638297872	0.07
MPath	kirc	0.576379974326059	0.88
MPath	kirc	0.5850840336134454	0.07
MPath	kirc	0.6230248306997742	0.98
MPath	kirc	0.6348717948717949	0.07
MPath	ov	0.42105263157894735	0.01
MPath	ov	0.332089552238806	0.01
MPath	ov	0.6007751937984496	0.01
MPath	ov	0.6570397111913358	0.01
MPath	ov	0.5	0.01
MPath	ov	0.7236180904522613	0.01
MPath	ov	0.5171428571428571	0.01
MPath	ov	0.46875	0.01
MPath	ov	0.5078740157480315	0.01
MPath	ov	0.4280821917808219	0.01
